timestamp,content,style,size,steps,alpha,beta,gamma,lr,seed,final_total_loss,wall_time_s,ssim_vs_content,final_image
2025-09-15T04:57:27.043259+00:00,city.jpg,Surrealism.jpg,256,50,1,1000,10,0.02,42,4.651911e+11,96.083,0.413430,outputs\runs\city__Surrealism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T04:59:05.536611+00:00,city.jpg,Surrealism.jpg,256,50,1,2000,10,0.02,42,9.306099e+11,98.488,0.413529,outputs\runs\city__Surrealism__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:00:42.650110+00:00,city.jpg,Surrealism.jpg,256,50,1,5000,10,0.02,42,2.326344e+12,97.106,0.413535,outputs\runs\city__Surrealism__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:02:22.115204+00:00,color street.jpg,cubism.jpg,256,50,1,1000,10,0.02,42,2.106814e+12,97.293,0.508839,outputs\runs\color street__cubism__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:03:59.958614+00:00,color street.jpg,cubism.jpg,256,50,1,2000,10,0.02,42,4.213512e+12,97.839,0.508843,outputs\runs\color street__cubism__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:05:38.679445+00:00,color street.jpg,cubism.jpg,256,50,1,5000,10,0.02,42,1.053185e+13,98.716,0.508843,outputs\runs\color street__cubism__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:07:19.794558+00:00,color street.jpg,Da Vinci.jpg,256,50,1,1000,10,0.02,42,6.992970e+11,99.305,0.446441,outputs\runs\color street__Da Vinci__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:09:00.960304+00:00,color street.jpg,Da Vinci.jpg,256,50,1,2000,10,0.02,42,1.398777e+12,101.160,0.446421,outputs\runs\color street__Da Vinci__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:10:39.072698+00:00,color street.jpg,Da Vinci.jpg,256,50,1,5000,10,0.02,42,3.497045e+12,98.107,0.446384,outputs\runs\color street__Da Vinci__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:12:19.226381+00:00,color street.jpg,hokusai.jpg,256,50,1,1000,10,0.02,42,7.976158e+11,98.026,0.513200,outputs\runs\color street__hokusai__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:13:58.517396+00:00,color street.jpg,hokusai.jpg,256,50,1,2000,10,0.02,42,1.595385e+12,99.284,0.513189,outputs\runs\color street__hokusai__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:15:18.034944+00:00,color street.jpg,hokusai.jpg,256,50,1,5000,10,0.02,42,3.987942e+12,79.512,0.513182,outputs\runs\color street__hokusai__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:16:39.756052+00:00,color street.jpg,monet.jpg,256,50,1,1000,10,0.02,42,2.203203e+11,79.978,0.432131,outputs\runs\color street__monet__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:18:00.916937+00:00,color street.jpg,monet.jpg,256,50,1,2000,10,0.02,42,4.406209e+11,81.156,0.432137,outputs\runs\color street__monet__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:19:22.791617+00:00,color street.jpg,monet.jpg,256,50,1,5000,10,0.02,42,1.102338e+12,81.870,0.432126,outputs\runs\color street__monet__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
2025-09-15T05:20:44.234827+00:00,color street.jpg,Starry_night.jpg,256,50,1,1000,10,0.02,42,4.233171e+11,79.569,0.545334,outputs\runs\color street__Starry_night__256px_50s_a1_b1000_tv10_lr0.02_seed42__final.png
2025-09-15T05:22:03.374573+00:00,color street.jpg,Starry_night.jpg,256,50,1,2000,10,0.02,42,8.464672e+11,79.135,0.545368,outputs\runs\color street__Starry_night__256px_50s_a1_b2000_tv10_lr0.02_seed42__final.png
2025-09-15T05:23:23.206997+00:00,color street.jpg,Starry_night.jpg,256,50,1,5000,10,0.02,42,2.115606e+12,79.827,0.545283,outputs\runs\color street__Starry_night__256px_50s_a1_b5000_tv10_lr0.02_seed42__final.png
